TeamID,TeamName,School,FirstD1Season,LastD1Season
1101,Abilene Chr,Abilene Chr,2014,2019
1102,Air Force,Air Force,1985,2019
1103,Akron,Akron,1985,2019
1104,Alabama,Alabama,1985,2019
1105,Alabama A&M,Alabama A&M,2000,2019
1106,Alabama St,Alabama St,1985,2019
1107,Albany NY,Albany NY,2000,2019
1108,Alcorn St,Alcorn St,1985,2019
1109,Alliant Intl,Alliant Intl,1985,1991
1110,American Univ,American Univ,1985,2019
1111,Appalachian St,Appalachian St,1985,2019
1112,Arizona,Arizona,1985,2019
1113,Arizona St,Arizona St,1985,2019
1114,Ark Little Rock,Ark Little Rock,1985,2019
1115,Ark Pine Bluff,Ark Pine Bluff,1999,2019
1116,Arkansas,Arkansas,1985,2019
1117,Arkansas St,Arkansas St,1985,2019
1118,Armstrong St,Armstrong St,1987,1987
1119,Army,Army,1985,2019
1120,Auburn,Auburn,1985,2019
1121,Augusta,Augusta,1985,1991
1122,Austin Peay,Austin Peay,1985,2019
1123,Ball St,Ball St,1985,2019
1124,Baylor,Baylor,1985,2019
1125,Belmont,Belmont,2000,2019
1126,Bethune-Cookman,Bethune-Cookman,1985,2019
1127,Binghamton,Binghamton,2002,2019
1128,Birmingham So,Birmingham So,2003,2006
1129,Boise St,Boise St,1985,2019
1130,Boston College,Boston College,1985,2019
1131,Boston Univ,Boston Univ,1985,2019
1132,Bowling Green,Bowling Green,1985,2019
1133,Bradley,Bradley,1985,2019
1134,Brooklyn,Brooklyn,1985,1992
1135,Brown,Brown,1985,2019
1136,Bryant,Bryant,2009,2019
1137,Bucknell,Bucknell,1985,2019
1138,Buffalo,Buffalo,1992,2019
1139,Butler,Butler,1985,2019
1140,BYU,Brigham Young,1985,2019
1141,C Michigan,C Michigan,1985,2019
1142,Cal Poly SLO,Cal Poly SLO,1995,2019
1143,California,California,1985,2019
1144,Campbell,Campbell,1985,2019
1145,Canisius,Canisius,1985,2019
1146,Cent Arkansas,Cent Arkansas,2007,2019
1147,Centenary,Centenary,1985,2011
1148,Central Conn,Central Conn,1987,2019
1149,Charleston So,Charleston So,1985,2019
1150,Charlotte,Charlotte,1985,2019
1151,Chattanooga,Chattanooga,1985,2019
1152,Chicago St,Chicago St,1985,2019
1153,Cincinnati,Cincinnati,1985,2019
1154,Citadel,Citadel,1985,2019
1155,Clemson,Clemson,1985,2019
1156,Cleveland St,Cleveland St,1985,2019
1157,Coastal Car,Coastal Car,1987,2019
1158,Col Charleston,Col Charleston,1992,2019
1159,Colgate,Colgate,1985,2019
1160,Colorado,Colorado,1985,2019
1161,Colorado St,Colorado St,1985,2019
1162,Columbia,Columbia,1985,2019
1163,Connecticut,Connecticut,1985,2019
1164,Coppin St,Coppin St,1986,2019
1165,Cornell,Cornell,1985,2019
1166,Creighton,Creighton,1985,2019
1167,CS Bakersfield,Cal State Bakersfield,2008,2019
1168,CS Fullerton,Cal State Fullerton,1985,2019
1169,CS Northridge,Cal State Northridge,1991,2019
1170,CS Sacramento,Cal State Sacramento,1992,2019
1171,Dartmouth,Dartmouth,1985,2019
1172,Davidson,Davidson,1985,2019
1173,Dayton,Dayton,1985,2019
1174,Delaware,Delaware,1985,2019
1175,Delaware St,Delaware St,1985,2019
1176,Denver,Denver,1999,2019
1177,DePaul,DePaul,1985,2019
1178,Detroit,Detroit,1985,2019
1179,Drake,Drake,1985,2019
1180,Drexel,Drexel,1985,2019
1181,Duke,Duke,1985,2019
1182,Duquesne,Duquesne,1985,2019
1183,E Illinois,East Illinois,1985,2019
1184,E Kentucky,East Kentucky,1985,2019
1185,E Michigan,East Michigan,1985,2019
1186,E Washington,E Washington,1985,2019
1187,East Carolina,East Carolina,1985,2019
1188,Edwardsville,Edwardsville,2009,2019
1189,Elon,Elon,2000,2019
1190,ETSU,East Tennessee State,1985,2019
1191,Evansville,Evansville,1985,2019
1192,F Dickinson,F Dickinson,1985,2019
1193,Fairfield,Fairfield,1985,2019
1194,FL Atlantic,FL Atlantic,1994,2019
1195,FL Gulf Coast,FL Gulf Coast,2008,2019
1196,Florida,Florida,1985,2019
1197,Florida A&M,Florida A&M,1985,2019
1198,Florida Intl,Florida Intl,1988,2019
1199,Florida St,Florida St,1985,2019
1200,Fordham,Fordham,1985,2019
1201,Fresno St,Fresno St,1985,2019
1202,Furman,Furman,1985,2019
1203,G Washington,George Washington,1985,2019
1204,Ga Southern,Georgia Southern,1985,2019
1205,Gardner Webb,Gardner Webb,2003,2019
1206,George Mason,George Mason,1985,2019
1207,Georgetown,Georgetown,1985,2019
1208,Georgia,Georgia,1985,2019
1209,Georgia St,Georgia St,1985,2019
1210,Georgia Tech,Georgia Tech,1985,2019
1211,Gonzaga,Gonzaga,1985,2019
1212,Grambling,Grambling,1985,2019
1213,Grand Canyon,Grand Canyon,2014,2019
1214,Hampton,Hampton,1996,2019
1215,Hardin-Simmons,Hardin-Simmons,1985,1990
1216,Hartford,Hartford,1985,2019
1217,Harvard,Harvard,1985,2019
1218,Hawaii,Hawaii,1985,2019
1219,High Point,High Point,2000,2019
1220,Hofstra,Hofstra,1985,2019
1221,Holy Cross,Holy Cross,1985,2019
1222,Houston,Houston,1985,2019
1223,Houston Bap,Houston Bap,1985,2019
1224,Howard,Howard,1985,2019
1225,Idaho,Idaho,1985,2019
1226,Idaho St,Idaho St,1985,2019
1227,IL Chicago,Illinois Chicago,1985,2019
1228,Illinois,Illinois,1985,2019
1229,Illinois St,Illinois St,1985,2019
1230,Incarnate Word,Incarnate Word,2014,2019
1231,Indiana,Indiana,1985,2019
1232,Indiana St,Indiana St,1985,2019
1233,Iona,Iona,1985,2019
1234,Iowa,Iowa,1985,2019
1235,Iowa St,Iowa State,1985,2019
1236,IPFW,IPFW,2003,2019
1237,IUPUI,IUPUI,1999,2019
1238,Jackson St,Jackson St,1985,2019
1239,Jacksonville,Jacksonville,1985,2019
1240,Jacksonville St,Jacksonville St,1996,2019
1241,James Madison,James Madison,1985,2019
1242,Kansas,Kansas,1985,2019
1243,Kansas St,Kansas St,1985,2019
1244,Kennesaw,Kennesaw,2006,2019
1245,Kent,Kent,1985,2019
1246,Kentucky,Kentucky,1985,2019
1247,La Salle,La Salle,1985,2019
1248,Lafayette,Lafayette,1985,2019
1249,Lamar,Lamar,1985,2019
1250,Lehigh,Lehigh,1985,2019
1251,Liberty,Liberty,1989,2019
1252,Lipscomb,Lipscomb,2003,2019
1253,Long Beach St,Long Beach St,1985,2019
1254,Long Island,Long Island,1985,2019
1255,Longwood,Longwood,2005,2019
1256,Louisiana Tech,Louisiana Tech,1985,2019
1257,Louisville,Louisville,1985,2019
1258,Loy Marymount,Loy Marymount,1985,2019
1259,Loyola MD,Loyola Maryland,1985,2019
1260,Loyola-Chicago,Loyola-Chicago,1985,2019
1261,LSU,Louisiana State,1985,2019
1262,MA Lowell,U Massachusetts Lowell,2014,2019
1263,Maine,Maine,1985,2019
1264,Manhattan,Manhattan,1985,2019
1265,Marist,Marist,1985,2019
1266,Marquette,Marquette,1985,2019
1267,Marshall,Marshall,1985,2019
1268,Maryland,Maryland,1985,2019
1269,Massachusetts,Massachusetts,1985,2019
1270,McNeese St,McNeese St,1985,2019
1271,MD E Shore,Maryland Eastern Shore,1985,2019
1272,Memphis,Memphis,1985,2019
1273,Mercer,Mercer,1985,2019
1274,Miami FL,Miami Florida,1986,2019
1275,Miami OH,Miami Ohio,1985,2019
1276,Michigan,Michigan,1985,2019
1277,Michigan St,Michigan St,1985,2019
1278,Minnesota,Minnesota,1985,2019
1279,Mississippi,Mississippi,1985,2019
1280,Mississippi St,Mississippi St,1985,2019
1281,Missouri,Missouri,1985,2019
1282,Missouri KC,Missouri KC,1990,2019
1283,Missouri St,Missouri St,1985,2019
1284,Monmouth NJ,Monmouth NJ,1985,2019
1285,Montana,Montana,1985,2019
1286,Montana St,Montana St,1985,2019
1287,Morehead St,Morehead St,1985,2019
1288,Morgan St,Morgan St,1985,2019
1289,Morris Brown,Morris Brown,2002,2003
1290,MS Valley St,Mississippi Valley St,1985,2019
1291,Mt St Mary's,Mountt St Mary's,1989,2019
1292,MTSU,Middle Tennessee State,1985,2019
1293,Murray St,Murray St,1985,2019
1294,N Colorado,North Colorado,2005,2019
1295,N Dakota St,North Dakota St,2006,2019
1296,N Illinois,North Illinois,1985,2019
1297,N Kentucky,North Kentucky,2013,2019
1298,Navy,Navy,1985,2019
1299,NC A&T,NC A&T,1985,2019
1300,NC Central,North Carolina Central,2008,2019
1301,NC State,North Carolina State,1985,2019
1302,NE Illinois,NE Illinois,1991,1998
1303,NE Omaha,Nebraska Omaha,2012,2019
1304,Nebraska,Nebraska,1985,2019
1305,Nevada,Nevada,1985,2019
1306,New Hampshire,New Hampshire,1985,2019
1307,New Mexico,New Mexico,1985,2019
1308,New Mexico St,New Mexico St,1985,2019
1309,New Orleans,New Orleans,1985,2019
1310,Niagara,Niagara,1985,2019
1311,Nicholls St,Nicholls St,1985,2019
1312,NJIT,New Jersey Institute of Tech,2007,2019
1313,Norfolk St,Norfolk St,1998,2019
1314,North Carolina,North Carolina,1985,2019
1315,North Dakota,North Dakota,2009,2019
1316,North Florida,North Florida,2006,2019
1317,North Texas,North Texas,1985,2019
1318,Northeastern,Northeastern,1985,2019
1319,Northern Arizona,Northern Arizona,1985,2019
1320,Northern Iowa,Northern Iowa,1985,2019
1321,Northwestern,Northwestern,1985,2019
1322,Northwestern LA,Northwestern LA,1985,2019
1323,Notre Dame,Notre Dame,1985,2019
1324,Oakland,Oakland,2000,2019
1325,Ohio,Ohio,1985,2019
1326,Ohio St,Ohio St,1985,2019
1327,Okla City,Okla City,1985,1985
1328,Oklahoma,Oklahoma,1985,2019
1329,Oklahoma St,Oklahoma St,1985,2019
1330,Old Dominion,Old Dominion,1985,2019
1331,Oral Roberts,Oral Roberts,1985,2019
1332,Oregon,Oregon,1985,2019
1333,Oregon St,Oregon St,1985,2019
1334,Pacific,Pacific,1985,2019
1335,Penn,Penn,1985,2019
1336,Penn St,Penn St,1985,2019
1337,Pepperdine,Pepperdine,1985,2019
1338,Pittsburgh,Pittsburgh,1985,2019
1339,Portland,Portland,1985,2019
1340,Portland St,Portland St,1999,2019
1341,Prairie View,Prairie View,1985,2019
1342,Presbyterian,Presbyterian,2008,2019
1343,Princeton,Princeton,1985,2019
1344,Providence,Providence,1985,2019
1345,Purdue,Purdue,1985,2019
1346,Quinnipiac,Quinnipiac,1999,2019
1347,Radford,Radford,1985,2019
1348,Rhode Island,Rhode Island,1985,2019
1349,Rice,Rice,1985,2019
1350,Richmond,Richmond,1985,2019
1351,Rider,Rider,1985,2019
1352,Robert Morris,Robert Morris,1985,2019
1353,Rutgers,Rutgers,1985,2019
1354,S Carolina St,South Carolina St,1985,2019
1355,S Dakota St,South Dakota St,2006,2019
1356,S Illinois,S Illinois,1985,2019
1357,Sacred Heart,Sacred Heart,2000,2019
1358,Sam Houston St,Sam Houston St,1987,2019
1359,Samford,Samford,1985,2019
1360,San Diego,San Diego,1985,2019
1361,San Diego St,San Diego St,1985,2019
1362,San Francisco,San Francisco,1986,2019
1363,San Jose St,San Jose St,1985,2019
1364,Santa Barbara,Santa Barbara,1985,2019
1365,Santa Clara,Santa Clara,1985,2019
1366,Savannah St,Savannah St,2003,2019
1367,SC Upstate,SC Upstate,2008,2019
1368,SE Louisiana,SE Louisiana,1985,2019
1369,SE Missouri St,SE Missouri St,1992,2019
1370,Seattle,Seattle,2009,2019
1371,Seton Hall,Seton Hall,1985,2019
1372,SF Austin,SF Austin,1987,2019
1373,Siena,Siena,1985,2019
1374,SMU,Southern Methodist,1985,2019
1375,South Alabama,South Alabama,1985,2019
1376,South Carolina,South Carolina,1985,2019
1377,South Dakota,South Dakota,2009,2019
1378,South Florida,South Florida,1985,2019
1379,Southern Miss,Southern Miss,1985,2019
1380,Southern Univ,Southern Univ,1985,2019
1381,Southern Utah,Southern Utah,1989,2019
1382,St Bonaventure,St Bonaventure,1985,2019
1383,St Francis NY,St Francis NY,1985,2019
1384,St Francis PA,St Francis PA,1985,2019
1385,St John's,St John's,1985,2019
1386,St Joseph's PA,St Joseph's PA,1985,2019
1387,St Louis,St Louis,1985,2019
1388,St Mary's CA,St Mary's CA,1985,2019
1389,St Peter's,St Peter's,1985,2019
1390,Stanford,Stanford,1985,2019
1391,Stetson,Stetson,1985,2019
1392,Stony Brook,Stony Brook,2000,2019
1393,Syracuse,Syracuse,1985,2019
1394,TAM C. Christi,Texas AM Corpus Christi,2003,2019
1395,TCU,Texas Christian,1985,2019
1396,Temple,Temple,1985,2019
1397,Tennessee,Tennessee,1985,2019
1398,Tennessee St,Tennessee St,1985,2019
1399,Tennessee Tech,Tennessee Tech,1985,2019
1400,Texas,Texas,1985,2019
1401,Texas A&M,Texas A&M,1985,2019
1402,Texas St,Texas St,1985,2019
1403,Texas Tech,Texas Tech,1985,2019
1404,TN Martin,Tennessee Martin,1993,2019
1405,Toledo,Toledo,1985,2019
1406,Towson,Towson,1985,2019
1407,Troy,Troy,1994,2019
1408,Tulane,Tulane,1985,2019
1409,Tulsa,Tulsa,1985,2019
1410,UTRGV,U Texas Rio Grande Valley,1985,2019
1411,TX Southern,Texas Southern,1985,2019
1412,UAB,U Alabama Birmingham,1985,2019
1413,UC Davis,UC Davis,2005,2019
1414,UC Irvine,UC Irvine,1985,2019
1415,UC Riverside,UC Riverside,2002,2019
1416,UCF,U Central Florida,1985,2019
1417,UCLA,UCLA,1985,2019
1418,ULL,U Louisiana Lageyette,1985,2019
1419,ULM,U Louisiana Monroe,1985,2019
1420,UMBC,U Maryland Baltimore,1987,2019
1421,UNC Asheville,UNC Asheville,1987,2019
1422,UNC Greensboro,UNC Greensboro,1992,2019
1423,UNC Wilmington,UNC Wilmington,1985,2019
1424,UNLV,U Nevada Las Vegas,1985,2019
1425,USC,U Southern California,1985,2019
1426,UT Arlington,U Texas Arlington,1985,2019
1427,UT San Antonio,U Texas San Antonio,1985,2019
1428,Utah,Utah,1985,2019
1429,Utah St,Utah St,1985,2019
1430,Utah Valley,Utah Valley,2005,2019
1431,UTEP,U Texas El Paso,1985,2019
1432,Utica,Utica,1985,1987
1433,VA Commonwealth,Virginia Commonwealth,1985,2019
1434,Valparaiso,Valparaiso,1985,2019
1435,Vanderbilt,Vanderbilt,1985,2019
1436,Vermont,Vermont,1985,2019
1437,Villanova,Villanova,1985,2019
1438,Virginia,Virginia,1985,2019
1439,Virginia Tech,Virginia Tech,1985,2019
1440,VMI,Virginia Military,1985,2019
1441,W Carolina,W Carolina,1985,2019
1442,W Illinois,W Illinois,1985,2019
1443,WKU,Western Kentucky,1985,2019
1444,W Michigan,West Michigian,1985,2019
1445,W Salem St,Winston Salem St,2007,2010
1446,W Texas A&M,West Texas A&M,1985,1986
1447,Wagner,Wagner,1985,2019
1448,Wake Forest,Wake Forest,1985,2019
1449,Washington,Washington,1985,2019
1450,Washington St,Washington St,1985,2019
1451,Weber St,Weber St,1985,2019
1452,West Virginia,West Virginia,1985,2019
1453,WI Green Bay,WI Green Bay,1985,2019
1454,WI Milwaukee,WI Milwaukee,1991,2019
1455,Wichita St,Wichita St,1985,2019
1456,William & Mary,William & Mary,1985,2019
1457,Winthrop,Winthrop,1987,2019
1458,Wisconsin,Wisconsin,1985,2019
1459,Wofford,Wofford,1996,2019
1460,Wright St,Wright St,1988,2019
1461,Wyoming,Wyoming,1985,2019
1462,Xavier,Xavier,1985,2019
1463,Yale,Yale,1985,2019
1464,Youngstown St,Youngstown St,1985,2019
1465,Cal Baptist,Cal Baptist,2019,2019
1466,North Alabama,North Alabama,2019,2019